,priority_pollutant_type,registration_number_of_the_contaminated_site_in_the_register,location_of_the_contaminated_site,administrative_region,longitude,latitude,land_category_before_pollution,сontaminated_site_area_hectares,the_level_of_oil_pollution_of_soils_and_lands_mg_kg,level_of_oil_products_in_bottom_sediments_of_water_mg_kg_and_on_surface_waters_mg_cubic_dm,date_of_last_spill
118,нефть,СНГ-2020-1,Нефтепровод т.1 Конитлорского месторождения – ДНС-1А Русскинского месторождения,Сургутский,73.29554999999999,62.271485999999996,земли лесного фонда,0.082,8.9, - ,2020-08-23 00:00:00
123,нефть,РН-ТОМСКН-2013-10,"нск к.12 - УПСВ-2, 900м, 960м от к.12",Нижневартовский,78.917945,60.868021,земли лесного фонда,0.444,54.4,-,"12.08.2013
26.08.2013"
124,нефть,РН-ТОМСКН-2014-6,"нск ф - 89  к.24 - вр.к.26, 17м, 21м, 276м от к.24;
в/ линия ф - 114  к.24  скв.125  1м от скв",Нижневартовский,78.899414,60.798623,земли лесного фонда,0.215,137,-,2013-11-20 00:00:00
125,нефть,РН-ТОМСКН-2013-12,"нск ф-114 к.15 - вр.к.16, 4м от к.15",Нижневартовский,78.86957108,60.845608,"земли лесного фонда, земли промышленности",1.0341,173.2,-,"29.09.2008
30.07.2016"
126,вмж,РН-ТОМСКН-2015-9,"ВВД ф-114 уз.вр.к.8 - к.8, 136м от уз.вр.к.8",Нижневартовский,78.90182677,60.88652348,земли лесного фонда,0.2286,18.25,-,2015-09-13 00:00:00
127,вмж,РН-ТОМСКН-2015-11,"ВВД ф-168 БКНС-19 - уз.вр.к.56,57,54, 1624м, 1688м, 1698м, 1784м от БКНС-19",Нижневартовский,78.95983,60.989032,земли лесного фонда,0.3839,30.83,-,"01.11.2015
03.06.2017
05.05.2018
06.01.2019"
128,вмж,РН-ТОМСКН-2016-7,"ВВД ф-114  БКНС-18 - к.73,  70м от БКНС-18",Нижневартовский,78.99182087,60.93563661,земли лесного фонда,0.009,0.08,-,2016-04-25 00:00:00
129,вмж,РН-ТОМСКН-2016-8,"ВВД ф-114 уз.вр.к.56 - к.56, 27м от уз.вр.; 
ВВД ф-168 БКНС-19 - уз.вр.к.56,57,54 1730м от БКНС-19",Нижневартовский,78.957246,60.989709,земли лесного фонда,0.6823,1,-,04.08.2016    18.12.2018
130,нефть,РН-ТОМСКН-2016-11,"нск ф-114 к.21-уз.вр 160м, 191м от к.21",Нижневартовский,78.954576,60.841395,земли лесного фонда,0.3537,55.64,-,"17.10.2016
05.08.2017"
131,нефть,РН-ТОМСКН-2016-12,"нск ф-89 к.28 - уз.вр.к.28, 749м от к.28",Нижневартовский,78.942773,60.798313,земли лесного фонда,0.6569,500,-,29.10.2016 
132,нефть,РН-ТОМСКН-2016-13,"нск ф-100 к.34 - вр.к.34, 301м от к.34",Нижневартовский,79.042432,60.91516,земли лесного фонда,0.2487,7.48,-,01.12.2016
133,вмж,РН-ТОМСКН-2016-17,"ВВД ф-325  3085м от уз.вр.ЦТП-БКНС-15; 
ВНД ф-325 уз.вр.ЦПС - БКНС-15, 3215м от уз.вр.ЦПС",Нижневартовский,78.92822176,60.88236006,земли лесного фонда,0.123,2.236,-,17.12.2016   25.12.2018
